# bias1 bias2 bias3 bias4 gain
4.82 4.59 1.88 1.38 1.16707
4.82 4.59 1.88 1.39 1.12893
4.82 4.59 1.88 1.4 1.08773
4.82 4.59 1.88 1.41 0.941383
4.82 4.59 1.88 1.42 0.995453
4.82 4.59 1.89 1.38 1.09744
4.82 4.59 1.89 1.39 1.02267
4.82 4.59 1.89 1.4 0.991383
4.82 4.59 1.89 1.41 1.24327
4.82 4.59 1.89 1.42 0.979904
4.82 4.59 1.9 1.38 1.08683
4.82 4.59 1.9 1.39 1.56325
4.82 4.59 1.9 1.4 1.03414
4.82 4.59 1.9 1.41 1.00443
4.82 4.59 1.9 1.42 1.14601
4.82 4.59 1.91 1.38 0.991152
4.82 4.59 1.91 1.39 1.23415
4.82 4.59 1.91 1.4 1.05907
4.82 4.59 1.91 1.41 0.981103
4.82 4.59 1.91 1.42 1.65286
4.82 4.59 1.92 1.38 0.981091
4.82 4.59 1.92 1.39 1.22821
4.82 4.59 1.92 1.4 1.704
4.82 4.59 1.92 1.41 1.11512
4.82 4.59 1.92 1.42 1.12219
4.82 4.6 1.88 1.38 0.969145
4.82 4.6 1.88 1.39 1.01446
4.82 4.6 1.88 1.4 1.11072
4.82 4.6 1.88 1.41 0.984982
4.82 4.6 1.88 1.42 0.934901
4.82 4.6 1.89 1.38 0.997211
4.82 4.6 1.89 1.39 1.12012
4.82 4.6 1.89 1.4 0.97112
4.82 4.6 1.89 1.41 0.968256
4.82 4.6 1.89 1.42 1.00951
4.82 4.6 1.9 1.38 1.02221
4.82 4.6 1.9 1.39 1.08737
4.82 4.6 1.9 1.4 1.03579
4.82 4.6 1.9 1.41 0.982675
4.82 4.6 1.9 1.42 0.999991
4.82 4.6 1.91 1.38 1.02273
4.82 4.6 1.91 1.39 0.933364
4.82 4.6 1.91 1.4 0.928036
4.82 4.6 1.91 1.41 1.07658
4.82 4.6 1.91 1.42 1.04525
4.82 4.6 1.92 1.38 1.42488
4.82 4.6 1.92 1.39 1.08175
4.82 4.6 1.92 1.4 0.978637
4.82 4.6 1.92 1.41 0.969072
4.82 4.6 1.92 1.42 1.10103
4.82 4.61 1.88 1.38 1.04455
4.82 4.61 1.88 1.39 0.976161
4.82 4.61 1.88 1.4 1.15846
